"Id","SalePrice"
1,202896.390485166
3,211796.461609233
7,275403.707684199
12,344409.814306597
15,148986.348624678
16,129892.005787624
22,135356.589051933
23,232196.948598387
26,271760.89148323
27,128460.467582766
33,205089.985756744
34,171079.715854853
35,270779.516825031
42,164629.626125959
43,141520.577117149
48,239983.193887773
53,110599.10170645
54,299535.275291289
55,143685.452621884
58,198122.046238945
59,322120.865588792
67,225025.186483566
71,223909.41239462
74,143113.298861777
78,121264.143714991
79,125448.234284508
81,184239.247457248
89,104214.465194261
93,129220.529694131
95,205383.778300521
96,177983.866867086
99,94046.0845495864
103,127121.528020248
105,159077.790077073
109,122119.494513768
112,173753.31895623
113,266136.873132564
116,169927.546268513
117,137224.996095313
125,180044.029356483
129,151288.91539262
131,202561.506299252
139,239596.506702006
140,198213.682186978
145,148237.672044961
148,223152.752864562
151,137344.283789146
162,341063.704663719
164,101335.564155062
173,184952.386554086
175,199281.205289702
177,214727.086015738
195,124441.81833581
197,253416.582649982
217,200544.884450221
223,180403.818202512
224,123346.922967862
229,130307.436944119
230,196941.065859108
233,97564.102470261
240,131010.667980226
243,111443.344008166
244,141913.568791075
254,158221.283437248
271,254947.522583596
274,160274.323550984
275,128175.500078367
276,161041.868171426
287,161299.12355345
295,165598.797470685
300,151343.28050114
302,266653.27240493
307,245049.474352951
311,180313.495262573
315,156154.845096426
318,247806.451381849
321,294618.549720868
324,130280.785941063
332,137724.505121254
333,293901.677213088
348,168726.833483436
352,194859.131504476
354,104229.870758754
356,171365.357621983
366,116891.867804468
371,177652.839438999
373,135334.821896166
377,141381.439167069
378,271741.390887114
383,208784.86792433
384,106523.435713468
388,141837.766073344
392,189966.752584577
393,108774.327529737
395,110253.8428805
400,202979.505738816
402,183703.344271742
405,176478.401634926
406,162647.581837476
411,127487.337773718
414,113656.553174421
420,136122.601257969
423,127967.095157164
427,215117.706448903
428,117318.104037888
433,123830.576224024
434,179447.769038265
438,113570.777479201
439,121189.435765871
443,140647.268625734
446,155937.477442834
447,198141.268988781
451,103608.043981032
452,209829.103442769
465,133303.344171979
469,268981.088611567
472,196893.258304188
483,170142.901534455
487,142224.202007984
497,336635.680285885
501,108897.396131668
502,213412.636871872
508,187302.009048027
509,145219.243831049
516,392850.526731036
517,189915.640347408
526,188848.186850433
528,362684.712405089
532,128214.850231766
535,196616.429018115
537,197621.168267591
538,124644.465627148
539,146003.15824782
540,252438.00976036
541,309111.088579783
547,152021.963883809
555,271092.55165282
556,108851.144345143
557,142886.019688587
559,180466.34082012
561,162690.887371231
567,296118.493164309
569,265369.996117748
572,125434.27370998
573,203602.832713897
577,144283.647089885
582,376186.03199121
593,134580.598560384
594,142137.818698357
603,220421.767998177
604,154084.257545796
612,163214.012921911
613,240277.003217438
616,145174.543828086
625,176837.464000657
628,162339.996264212
631,129089.925360399
633,177412.885325042
635,139356.750742426
637,74506.2848154891
644,165765.051919811
645,281358.703412274
650,82627.4862794043
653,197810.097935808
654,129577.847515864
658,172118.17669093
663,160847.225097459
670,125259.822787461
680,136104.292040744
698,124264.336032657
699,128475.293854663
704,141960.008787178
708,219457.533381687
722,143414.323047847
723,120761.626515014
731,255190.85940061
736,157384.443868149
742,134722.069690769
744,159753.163116425
745,199501.11274248
758,156940.130419308
759,168653.894466844
761,124386.524414287
762,128004.96901321
773,149325.953087525
776,161765.484644748
787,131771.285515404
790,206003.786046067
791,170038.754204644
794,238163.780648969
795,198887.526361198
796,166978.702401191
797,148401.43043899
803,176246.940288152
804,392383.877110199
806,220360.739170126
807,135823.907644067
812,145073.028065205
818,259438.138225473
821,192024.575235047
831,158784.916943244
834,157123.192341363
835,140397.612534292
839,142324.389314842
843,152355.884732046
846,177397.877759462
852,198876.546640309
854,166642.62465389
857,148292.133225466
869,179204.805260552
871,112536.276690092
873,121457.48930996
874,137276.458087635
875,106441.029133259
877,133479.755576699
878,319082.319970312
883,179102.432244465
884,132831.978897608
887,158969.211896856
896,167322.026821923
897,96772.330965108
899,435455.795290054
900,138042.029767917
908,220925.68472168
914,159503.531936718
917,82303.348316024
924,186031.421457254
925,193228.942013039
926,156796.791574267
927,290605.433230531
930,227799.140519634
933,300649.194762295
939,236177.620135238
943,131565.524363129
945,166450.076321589
954,166618.095303604
958,134008.826458846
960,167213.150889603
963,153448.533411877
965,209923.917581614
969,88536.5641427364
973,134799.387935868
974,210658.091854187
975,177676.61540026
976,165501.036479568
986,127683.29482844
994,180631.945903847
997,134200.24580425
999,92990.1478488211
1002,93364.3033393535
1006,143676.094863537
1007,171840.646622295
1009,216289.523693414
1014,105002.025579609
1019,171489.310503833
1022,193516.361873489
1024,191928.266912648
1027,148560.570164419
1039,104066.817096254
1043,189198.527369961
1045,286264.610011067
1048,143204.297066032
1049,153908.707585266
1051,182214.019022336
1060,184092.4901226
1061,206405.812360645
1065,147776.957410763
1074,148777.298889823
1077,150819.230866453
1078,136575.687391722
1079,143629.970626183
1081,170134.308992491
1084,148360.553839268
1085,182075.332520136
1088,257230.027031216
1093,157374.874026056
1095,128462.410083099
1098,180389.322666021
1105,112155.017041034
1111,185325.92468143
1113,124805.328293376
1115,118495.994065466
1126,128354.278844517
1128,226266.286377401
1131,153699.22143158
1132,121624.076501511
1138,108838.117363646
1146,132042.773200387
1149,126130.724207035
1160,198472.801390068
1163,127069.373357333
1165,183289.403001133
1167,233613.106436025
1172,152769.76617325
1173,162048.739646216
1175,211763.741092314
1177,129874.95456436
1178,117438.402449712
1180,108330.403903981
1181,245392.882260111
1182,269666.910825712
1184,134108.738901583
1186,118875.470902888
1189,191556.781406417
1190,194524.558542019
1191,163254.97419871
1198,142097.942410574
1201,115728.702434897
1207,133390.287408904
1209,141989.360616457
1212,200220.790741821
1215,134012.931424918
1222,135121.477557444
1229,324313.440687581
1230,152343.837132696
1232,142073.542640738
1237,168398.72101026
1250,123369.831242818
1255,177332.577995524
1260,144296.423873191
1270,138195.846129796
1274,158944.88149651
1286,126184.827276165
1289,258701.480033216
1291,153745.146177072
1297,139455.713450056
1301,223695.544500302
1302,165567.282633323
1312,192293.023501168
1313,304348.598374713
1333,112619.625812861
1334,123575.328561018
1336,174686.04952193
1340,126675.437557728
1343,246554.99095197
1347,231329.831645453
1348,272603.942516416
1349,218693.082145436
1350,154810.285769271
1361,147282.459641001
1362,227333.866952089
1364,172571.515432475
1377,104157.173791257
1380,161633.47154729
1383,148172.089083197
1389,288344.560315042
1393,123295.898457125
1404,247290.057199771
1405,100104.533747536
1407,133289.380040075
1409,113599.150068941
1410,210927.394190162
1411,214529.111472532
1416,208954.284203862
1420,219932.052696333
1422,142829.081462575
1427,255905.017653059
1429,114723.066343337
1430,184997.35522316
1444,104182.695797692
1447,139566.752610099
1449,108118.091463079
1453,135815.471970094
1455,187946.525999579
1458,235476.04563445
